platform_id,name,alternative_name,platform_logo,slug,url,generation,platform_family,abbreviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,BBC Microcomputer System,BBC Micro,294,bbcmicro,https://www.igdb.com/platforms/bbcmicro,,,bbcmicro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,BlackBerry OS,,40,blackberry,https://www.igdb.com/platforms/blackberry,,,blackberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Blu-ray Player,,427,blu-ray-player,https://www.igdb.com/platforms/blu-ray-player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Call-A-Computer time-shared mainframe computer system,,,call-a-computer,https://www.igdb.com/platforms/call-a-computer,,,call-a-computer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Casio Loopy,Loopy,,casio-loopy,https://www.igdb.com/platforms/casio-loopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,CDC Cyber 70,,374,cdccyber70,https://www.igdb.com/platforms/cdccyber70,,,cdccyber70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,ColecoVision,,311,colecovision,https://www.igdb.com/platforms/colecovision,2,,colecovision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Commodore 16,C16,544,c16,https://www.igdb.com/platforms/c16,,,C16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Commodore C64/128/MAX,C64/C128/MAX,300,c64,https://www.igdb.com/platforms/c64,,,C64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Commodore CDTV,Commodore Dynamic Total Vision,292,commodore-cdtv,https://www.igdb.com/platforms/commodore-cdtv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Commodore PET,,543,cpet,https://www.igdb.com/platforms/cpet,,,cpet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Commodore Plus/4,,310,c-plus-4,https://www.igdb.com/platforms/c-plus-4,,,C+4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Commodore VIC-20,,313,vic-20,https://www.igdb.com/platforms/vic-20,,,vic-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Daydream,,160,daydream,https://www.igdb.com/platforms/daydream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,DEC GT40,,,gt40,https://www.igdb.com/platforms/gt40,,,gt40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Donner Model 30,,,donner30,https://www.igdb.com/platforms/donner30,,,donner30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,DOS,PC DOS,38,dos,https://www.igdb.com/platforms/dos,,,DOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Dragon 32/64,,302,dragon-32-slash-64,https://www.igdb.com/platforms/dragon-32-slash-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,DUPLICATE Stadia,,,duplicate-stadia,https://www.igdb.com/platforms/duplicate-stadia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,DVD Player,Digital Versatile Disc Player,426,dvd-player,https://www.igdb.com/platforms/dvd-player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,EDSAC,Electronic Delay Storage Automatic Calculator,389,edsac--1,https://www.igdb.com/platforms/edsac--1,,,edsac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,Epoch Cassette Vision,,,epoch-cassette-vision,https://www.igdb.com/platforms/epoch-cassette-vision,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Epoch Super Cassette Vision,YENO Super Cassette Vision,,epoch-super-cassette-vision,https://www.igdb.com/platforms/epoch-super-cassette-vision,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Evercade,,528,evercade,https://www.igdb.com/platforms/evercade,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Exidy Sorcerer,,,exidy-sorcerer,https://www.igdb.com/platforms/exidy-sorcerer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Fairchild Channel F,,316,fairchild-channel-f,https://www.igdb.com/platforms/fairchild-channel-f,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Ferranti Nimrod Computer,,386,nimrod,https://www.igdb.com/platforms/nimrod,,,nimrod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,FM Towns,,365,fm-towns,https://www.igdb.com/platforms/fm-towns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,FM-7,Fujitsu Micro 7,538,fm-7,https://www.igdb.com/platforms/fm-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,Gamate,Super Boy,627,gamate,https://www.igdb.com/platforms/gamate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,Game.com,Tiger Game.com,596,game-dot-com,https://www.igdb.com/platforms/game-dot-com,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Gear VR,Samsung Gear VR,,gear-vr,https://www.igdb.com/platforms/gear-vr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Google Stadia,Stadia,328,stadia,https://www.igdb.com/platforms/stadia,,,Stadia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,Handheld Electronic LCD,Handheld LCD Game,,handheld-electronic-lcd,https://www.igdb.com/platforms/handheld-electronic-lcd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,HP 2100,,,hp2100,https://www.igdb.com/platforms/hp2100,,,hp2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,HP 3000,,369,hp3000,https://www.igdb.com/platforms/hp3000,,,hp3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Hyper Neo Geo 64,,117,hyper-neo-geo-64,https://www.igdb.com/platforms/hyper-neo-geo-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,HyperScan,,686,hyperscan,https://www.igdb.com/platforms/hyperscan,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Imlac PDS-1,,,imlac-pds1,https://www.igdb.com/platforms/imlac-pds1,,,imlac-pds1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Intellivision,,312,intellivision,https://www.igdb.com/platforms/intellivision,2,,intellivision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Intellivision Amico,,,intellivision-amico,https://www.igdb.com/platforms/intellivision-amico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,iOS,,248,ios,https://www.igdb.com/platforms/ios,,,iOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,Leapster,Leapster Learning Game System,689,leapster,https://www.igdb.com/platforms/leapster,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Leapster Explorer/LeadPad Explorer,,,leapster-explorer-slash-leadpad-explorer,https://www.igdb.com/platforms/leapster-explorer-slash-leadpad-explorer,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,LeapTV,LeapTV VCD,690,leaptv,https://www.igdb.com/platforms/leaptv,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
